searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,latitude,longitude,distance,loc_name,loc_number,address,cuisines,delivery_time_raw,delivery_time,review_count,review_rating,RunDate,Specialty Items,Meal Types,Dietary Preferences
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6733694,-73.9568633,0.497488177,Island Cz Cafe,313054,"743 Franklin Ave, Brooklyn, NY 11238, USA",Seafood,25 - 35,30,718,4.2,25/04/22 7:01,Miscellaneous,Miscellaneous,Vegetarian|Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6845887,-73.9769192,1.431283246,Cold Stone Creamery,114289,"139 Flatbush Ave, Brooklyn, NY 11217, USA",Miscellaneous,38 - 48,43,579,4.4,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6845887,-73.9769192,1.431283246,Cold Stone Creamery,114289,"139 Flatbush Ave, Brooklyn, NY 11217, USA",Miscellaneous,38 - 48,43,579,4.4,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6817871,-73.9770185,1.395162259,The Original Hot Dog Factory,1224043,"44 5th Ave, Brooklyn, NY 11217, USA",American,30 - 40,35,7,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6845887,-73.9769192,1.431283246,Cold Stone Creamery,114289,"139 Flatbush Ave, Brooklyn, NY 11217, USA",Miscellaneous,38 - 48,43,579,4.4,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6817871,-73.9770185,1.395162259,The Original Hot Dog Factory,1224043,"44 5th Ave, Brooklyn, NY 11217, USA",American,30 - 40,35,7,5.0,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.7000637,-73.9295296,1.838266386,La Window,1209047,"143 Troutman St, Brooklyn, NY 11206, USA",Miscellaneous,26 - 36,31,20,4.6,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.7000637,-73.9295296,1.838266386,La Window,1209047,"143 Troutman St, Brooklyn, NY 11206, USA",Miscellaneous,26 - 36,31,20,4.6,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.7000637,-73.9295296,1.838266386,La Window,1209047,"143 Troutman St, Brooklyn, NY 11206, USA",Miscellaneous,26 - 36,31,20,4.6,25/04/22 7:01,Miscellaneous,Miscellaneous,Miscellaneous
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6873507,-73.9186853,1.776486634,The Green Vegan Monsta,493446,"1470 Broadway, Brooklyn, NY 11221, USA",American,32 - 42,37,752,3.4,25/04/22 7:01,Burgers|Miscellaneous|Sandwiches,Miscellaneous|Breakfast,Vegan|Miscellaneous
10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6873507,-73.9186853,1.776486634,The Green Vegan Monsta,493446,"1470 Broadway, Brooklyn, NY 11221, USA",American,32 - 42,37,752,3.4,25/04/22 7:01,Burgers|Miscellaneous|Sandwiches,Miscellaneous|Breakfast,Vegan|Miscellaneous
